,Date,Time,ltp,strikeprice,CE_sum,PE_sum,CE_contr,PE_contr
282,28-02-2024,12:41:13,46237.65,46200,791395,509428,60.84,39.16
283,28-02-2024,12:42:13,46247.25,46200,791395,509428,60.84,39.16
284,28-02-2024,12:42:14,46247.25,46200,791395,509428,60.84,39.16
285,28-02-2024,12:43:18,46250.15,46300,869161,523351,62.42,37.58
286,28-02-2024,12:43:18,46250.15,46300,869161,523351,62.42,37.58
287,28-02-2024,12:44:12,46244.65,46200,794998,513106,60.77,39.23
288,28-02-2024,12:44:12,46244.65,46200,794998,513106,60.77,39.23
289,28-02-2024,12:45:17,46246.7,46200,794998,513106,60.77,39.23
290,28-02-2024,12:45:17,46246.7,46200,794998,513106,60.77,39.23
291,28-02-2024,12:46:13,46225.45,46200,794998,513106,60.77,39.23
292,28-02-2024,12:46:13,46223.9,46200,794998,513106,60.77,39.23
293,28-02-2024,12:47:12,46193,46200,796061,510796,60.91,39.09
294,28-02-2024,12:47:13,46193,46200,796061,510796,60.91,39.09
295,28-02-2024,12:48:12,46181.1,46200,796061,510796,60.91,39.09
296,28-02-2024,12:49:12,46180,46200,796061,510796,60.91,39.09
297,28-02-2024,12:50:14,46198.15,46200,798572,508132,61.11,38.89
298,28-02-2024,12:51:13,46217.6,46200,798572,508132,61.11,38.89
299,28-02-2024,12:52:13,46199.55,46200,798572,508132,61.11,38.89
300,28-02-2024,12:53:11,46183.8,46200,804936,506895,61.36,38.64
301,28-02-2024,12:54:13,46197.35,46200,804936,506895,61.36,38.64
302,28-02-2024,12:55:12,46113.6,46100,520799,488508,51.6,48.4
303,28-02-2024,12:56:12,46101.35,46100,515052,462005,52.71,47.29
304,28-02-2024,12:57:12,46118.05,46100,515052,462005,52.71,47.29
305,28-02-2024,12:58:13,46127.85,46100,515052,462005,52.71,47.29
306,28-02-2024,12:59:12,46083.25,46100,525012,454132,53.62,46.38
307,28-02-2024,13:00:12,46084.1,46100,525012,454132,53.62,46.38
308,28-02-2024,13:01:12,46069.7,46100,525012,454132,53.62,46.38
309,28-02-2024,13:02:12,46098.7,46100,538018,447398,54.6,45.4
310,28-02-2024,13:03:14,46100.4,46100,538018,447398,54.6,45.4
311,28-02-2024,13:03:14,46100.4,46100,538018,447398,54.6,45.4
312,28-02-2024,13:04:11,46099.9,46100,538018,447398,54.6,45.4
313,28-02-2024,13:04:11,46099.9,46100,538018,447398,54.6,45.4
314,28-02-2024,13:05:11,46095.4,46100,568334,446440,56.01,43.99
315,28-02-2024,13:06:11,46101.65,46100,568334,446440,56.01,43.99
316,28-02-2024,13:07:11,46094.55,46100,568334,446440,56.01,43.99
317,28-02-2024,13:08:13,45988.3,46000,553476,409404,57.48,42.52
318,28-02-2024,13:09:12,45981,46000,553476,409404,57.48,42.52
319,28-02-2024,13:10:12,46019.4,46000,553476,409404,57.48,42.52
320,28-02-2024,13:11:12,46021.25,46000,586978,380421,60.68,39.32
321,28-02-2024,13:12:12,46010.75,46000,586978,380421,60.68,39.32
322,28-02-2024,13:13:12,46011.1,46000,586978,380421,60.68,39.32
323,28-02-2024,13:14:12,45950.9,46000,606243,389112,60.91,39.09
324,28-02-2024,13:15:12,45944.1,45900,470939,263054,64.16,35.84
325,28-02-2024,13:16:11,45975.2,46000,606243,389112,60.91,39.09
326,28-02-2024,13:17:11,46026.95,46000,601014,361021,62.47,37.53
327,28-02-2024,13:18:12,46006.5,46000,601014,361021,62.47,37.53
328,28-02-2024,13:19:12,46052.35,46100,565968,362126,60.98,39.02
329,28-02-2024,13:20:11,46048.7,46000,597817,379581,61.16,38.84
330,28-02-2024,13:21:13,46079.1,46100,563904,380755,59.69,40.31
331,28-02-2024,13:22:11,46059.05,46100,563904,380755,59.69,40.31
332,28-02-2024,13:23:12,46083,46100,566330,391171,59.15,40.85
333,28-02-2024,13:24:12,46104.45,46100,566330,391171,59.15,40.85
334,28-02-2024,13:25:12,46107.1,46100,566330,391171,59.15,40.85
335,28-02-2024,13:26:13,46133.25,46100,561380,412993,57.61,42.39
336,28-02-2024,13:27:12,46098.7,46100,561380,412993,57.61,42.39
337,28-02-2024,13:28:11,46107.1,46100,561380,412993,57.61,42.39
338,28-02-2024,13:29:11,46104.25,46100,564273,427016,56.92,43.08
